,Date,Close.Last,Volume,Open,High,Low
1455,6/22/2017,14.4926,3216683,14.3668,14.5083,13.9267
1454,6/23/2017,14.8384,2376120,14.524,14.9327,14.1468
1453,6/26/2017,14.807,1595121,14.7755,14.9484,14.6183
1452,6/27/2017,14.6812,1159751,14.8384,15.0585,14.5869
1451,6/28/2017,15.027,1399536,14.7755,15.2156,14.7755
1450,6/29/2017,14.8698,1035408,15.027,15.0899,14.6498
1449,6/30/2017,14.304,2173192,14.9013,14.9013,14.2411
1448,7/3/2017,14.5869,837052,14.3983,14.6812,14.3354
1447,7/5/2017,14.1153,1898426,14.6183,14.8384,13.9896
1446,7/6/2017,13.6123,2055901,14.021,14.021,13.4866
1445,7/7/2017,13.801,1467431,13.5809,13.9896,13.3608
1444,7/10/2017,13.518,1303600,13.7381,13.8324,13.4866
1443,7/11/2017,14.021,1072669,13.518,14.0839,13.518
1442,7/12/2017,13.4552,1590275,14.0839,14.0839,13.3608
1441,7/13/2017,13.9267,976252,13.3923,14.021,13.3923
1440,7/14/2017,13.7695,876473,13.8953,13.911,13.6909
1439,7/17/2017,12.3863,6242898,13.3608,13.3608,12.3549
1438,7/18/2017,12.6378,3941566,12.3863,12.8893,12.3863
1437,7/19/2017,12.4806,3337808,12.512,12.8579,12.4492
1436,7/20/2017,12.9522,2529739,12.5435,13.2194,12.512
1435,7/21/2017,12.795,1269378,12.9207,13.1093,12.6849
1434,7/24/2017,12.8893,1575820,12.8264,13.0779,12.7321
1433,7/25/2017,13.1093,1361223,12.8893,13.2037,12.8893
1432,7/26/2017,13.2351,1625200,13.1093,13.3294,13.015
1431,7/27/2017,13.015,1887928,13.298,13.298,12.8893
1430,7/28/2017,12.8893,1347640,12.9207,13.0465,12.8579
1429,7/31/2017,12.8264,1546290,12.9522,13.015,12.7321
1428,8/1/2017,13.0779,1611343,12.8579,13.1408,12.7635
1427,8/2/2017,9.5569,16888570,9.9342,10.0914,9.5255
1426,8/3/2017,9.4941,5679332,9.5569,9.5884,9.3054
1425,8/4/2017,10.2171,6601465,9.8399,10.4686,9.7456
1424,8/7/2017,10.1228,3081208,10.1857,10.3429,10.0914
1423,8/8/2017,10.1542,2354709,10.1228,10.3429,10.1228
1422,8/9/2017,9.7456,2464211,10.0599,10.1228,9.7141
1421,8/10/2017,9.0854,3384733,9.7141,9.7456,9.0539
1420,8/11/2017,8.8339,3632723,9.0539,9.1483,8.5824
1419,8/14/2017,8.5509,3170249,8.9911,9.0854,8.4881
1418,8/15/2017,8.3309,3682169,8.6138,8.7081,8.1108
1417,8/16/2017,8.3623,2570370,8.3938,8.6453,8.268
1416,8/17/2017,8.268,3273395,8.3623,8.7396,8.268
1415,8/18/2017,8.1737,7119473,8.2366,8.2994,7.5764
1414,8/21/2017,8.2051,4050843,8.1737,8.268,7.8122
1413,8/22/2017,8.0794,2990471,8.268,8.4566,7.875
1412,8/23/2017,7.8908,2670584,8.0165,8.0479,7.7964
1411,8/24/2017,8.0479,2144835,7.8908,8.4095,7.8593
1410,8/25/2017,8.1108,1976280,8.1423,8.3309,8.0165
1409,8/28/2017,8.2051,3421201,8.2051,8.3309,8.0165
1408,8/29/2017,8.0794,3025332,8.0794,8.1423,7.8279
1407,8/30/2017,8.4566,3281212,8.0479,8.4881,7.9536
1406,8/31/2017,8.4252,2360357,8.4566,8.6138,8.3309
1405,9/1/2017,8.8968,3231841,8.2994,9.0225,8.2994
1404,9/5/2017,9.1168,5527473,8.9282,9.164,8.8339
1403,9/6/2017,9.0539,2983811,9.1168,9.1797,8.8968
1402,9/7/2017,8.6767,7727251,9.0539,9.1797,8.6295
